	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12
g1	31	20	14	42	12	32	107	86	18	93	81	110
g2	309	554	219	300	349	245	695	856	673	662	605	1379
g3	2681	3498	3010	2976	2566	2951	4315	3725	5193	5522	4938	5199
g4	117	112	86	78	47	96	555	563	887	638	880	935
g5	64	31	205	138	95	171	185	135	614	872	257	1039
g6	10	38	13	8	9	27	10	43	2	1	94	35
g7	154	146	406	216	73	378	263	391	1285	521	1103	1301
g8	4	1	2	0	0	0	1	6	0	0	77	17
g9	628	389	623	440	497	471	570	726	620	789	1212	959
g10	0	23	0	23	3	3	0	27	153	1	1	123
g11	1251	1330	874	660	1426	997	1636	1108	2028	1208	1692	1601
g12	234	279	205	277	226	184	232	355	361	334	499	334
g13	4	5	0	3	5	3	1	4	3	0	2	13
g14	18	34	20	41	53	56	74	91	67	143	62	154
g15	19	17	24	13	29	34	28	35	37	16	76	86
g16	101	73	26	137	231	21	123	16	249	15	216	73
g17	10	8	12	8	18	15	14	18	20	21	26	30
g18	22	54	29	51	57	2	76	25	335	81	343	91
g19	159	234	86	182	111	72	211	380	190	137	389	402
g20	64	46	63	41	103	26	363	418	101	262	285	323
g21	885	1008	725	888	1206	1078	2181	1427	2680	2305	4104	2915
g22	0	2	8	2	0	3	33	48	16	10	12	58
g23	8	19	18	20	17	23	41	44	39	75	68	75
g24	2313	2229	2551	1161	2433	1918	4865	5734	6203	8659	7145	7481
g25	21	7	48	17	3	26	95	30	67	90	122	21
g26	348	515	87	272	307	388	851	756	1823	844	664	611
g27	692	883	674	758	785	541	2002	903	1353	870	1280	2113
g28	5	18	19	20	18	18	14	24	33	35	45	15
g29	143	116	68	177	189	139	1157	297	349	924	90	628
g30	31	40	40	28	27	34	135	58	88	174	217	151
g31	115	154	137	111	129	288	584	205	791	113	538	264
g32	2800	3313	1116	1674	3476	3006	4589	6213	3673	7655	4003	7386
g33	468	771	1013	665	1075	1041	1961	2561	2448	3450	2201	2721
g34	2778	2001	4182	2034	5152	4079	6496	3717	6411	5036	4326	15967
g35	47	40	46	16	78	26	59	61	87	114	70	43
g36	286	501	274	591	583	367	1135	701	498	693	686	447
g37	2	9	5	2	7	5	4	28	17	21	30	10
g38	169	512	326	425	459	519	593	1223	710	558	996	1199
g39	50	67	34	29	73	34	92	90	75	44	142	146
g40	10	15	7	2	3	13	25	58	5	19	52	7
g41	4725	4598	5166	5914	5329	6064	15427	10260	11501	14704	27053	16296
g42	96	235	31	18	47	315	50	63	81	59	192	90
g43	69	59	69	55	74	64	68	103	141	144	60	82
g44	388	128	434	902	791	1029	1138	849	1140	476	827	687
g45	44	63	21	31	36	24	57	141	57	73	119	187
g46	7	14	2	6	0	7	5	0	4	2	3	17
