	sample1	sample2	sample3	sample4	sample5	sample6
g1	62	132	92	114	135	240
g2	31	9	12	19	21	39
g3	2198	1362	1480	3661	2904	4234
g4	445	388	619	489	395	524
g5	5	2	7	3	7	4
g6	103	129	56	285	191	300
g7	122	73	60	577	132	291
g8	125	249	439	348	274	815
g9	1	3	12	13	49	85
g10	1873	4635	2091	6104	9655	6838
g11	2347	3716	3809	17921	6962	11990
g12	17	18	19	41	30	46
g13	5	0	6	20	5	70
g14	657	719	412	1511	1314	1899
g15	701	86	159	694	293	566
g16	15126	8160	13987	12476	15639	15449
g17	124	112	129	569	23	353
g18	626	751	382	735	805	899
g19	1496	1194	876	2413	776	1225
g20	1399	2979	529	4855	5865	5023
g21	1866	1273	1130	1765	1410	1516
g22	31010	13448	27911	89567	56546	122752
g23	11	4	4	9	4	6
g24	1103	1489	1258	1900	1741	2021
g25	2780	1513	831	3721	2329	4134
g26	214	154	123	210	184	292
g27	215	296	112	1357	394	721
g28	1912	1828	1742	2909	1889	2317
g29	480	698	344	539	489	1140
g30	634	1228	1420	3465	2113	2828
g31	337	247	203	243	348	354
g32	76	115	52	121	218	117
g33	2656	2311	1762	3122	1908	2950
g34	1265	562	161	5278	2463	1045
g35	1	5	5	3	2	25
g36	183	140	106	189	269	169
g37	36	38	18	71	64	119
g38	686	625	438	897	681	1309
g39	195	177	129	288	99	132
g40	551	663	675	1513	1295	2243
g41	1075	1544	2217	2135	2791	2722
g42	54	14	37	11	133	131
g43	13	11	7	17	7	15
g44	5696	2763	4264	7691	7219	15842
g45	101	121	41	252	156	150
g46	33	64	41	27	34	67
g47	1	15	6	0	1	0
g48	6885	1506	5310	6219	3637	9090
g49	883	617	1199	1068	1222	1304
g50	6667	4662	3993	30331	12374	27221
g51	16	30	16	47	21	22
g52	1329	1637	1419	1892	2057	2452
g53	274	410	370	461	369	561
g54	15	7	4	4	5	14
g55	21	20	3	19	38	25
g56	3170	3489	3961	8229	7721	10501
g57	1436	868	365	1443	756	1557
g58	87	66	89	277	177	311
g59	2130	3568	4245	20147	4899	25352
g60	57	52	102	845	493	468
g61	39	99	141	50	42	114
g62	5	13	0	0	17	3
g63	555	366	507	845	697	839
g64	1959	1771	1854	2923	5275	8951
g65	199	113	148	276	147	339
g66	106	44	77	53	79	73
