	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12
g1	1578	1159	1503	1641	1510	1787	3418	3408	3712	4837	5163	3118
g2	118	36	99	133	69	101	123	139	160	59	159	135
g3	20	162	138	144	225	5	762	356	5	298	59	363
g4	884	837	690	1000	995	1794	2729	3509	2108	1848	2356	1019
g5	19	136	86	416	378	174	26	133	100	11	418	6
g6	247	351	138	1069	22	5	2319	2611	797	6	923	927
g7	3	40	19	12	12	38	4	23	52	101	21	6
g8	302	484	695	886	428	667	621	1443	1662	379	667	342
g9	381	390	991	759	689	1218	914	1309	1258	4043	1155	1446
g10	645	869	893	480	922	870	1544	3390	2307	1978	2838	1696
g11	8645	8812	5728	6560	6572	10377	15922	6585	9979	12895	10165	7287
g12	96	71	103	57	89	97	359	326	279	553	479	286
g13	3	1	7	0	0	1	1	5	1	3	14	7
g14	67	127	56	8	231	46	76	154	84	226	39	70
g15	40	1	56	74	19	2	166	4	0	243	0	3
g16	310	372	241	614	320	624	634	1066	728	782	1038	455
g17	0	0	1	0	1	0	0	0	0	28	1	22
g18	11508	14077	17064	16096	16073	20897	26482	33634	32209	37451	48289	23632
g19	11	35	48	4	19	50	100	61	34	50	120	39
g20	384	334	329	229	273	416	630	266	474	1333	1040	702
g21	398	176	231	572	130	481	590	1449	2631	1848	2356	709
g22	1787	2741	1702	3368	2185	4545	7122	2313	3331	3172	6439	2335
g23	1090	679	780	1147	1270	734	2086	2233	2843	3767	1764	1336
g24	34	55	64	41	148	45	92	156	127	370	165	124
g25	4	77	84	113	253	72	471	190	515	312	466	596
g26	663	554	578	826	1363	1052	1422	1519	2416	1233	1825	716
g27	19	13	11	2	7	4	38	22	46	5	173	6
g28	1285	3032	2490	3256	3141	2577	4807	3355	3754	3761	5637	3543
g29	3451	2401	5875	7342	7169	8137	10301	11525	9928	13481	17410	3854
g30	466	90	244	17	331	618	554	1368	1148	958	612	324
g31	1590	2018	1713	2576	609	3051	1745	1819	3840	4333	10242	1639
g32	586	888	1220	1376	976	983	719	1669	580	1211	1120	808
g33	8	4	11	22	22	16	66	14	8	30	10	7
g34	689	298	521	623	481	1283	957	1094	410	1005	854	570
g35	19	13	20	22	24	7	20	27	44	44	52	20
g36	9	1	5	0	2	2	3	0	10	11	0	0
g37	64	121	130	143	81	117	170	98	191	179	235	83
g38	186	231	203	147	292	258	450	520	526	519	905	434
g39	464	538	263	571	520	901	421	627	905	1478	2405	712
g40	441	641	568	422	428	900	987	992	807	931	852	822
g41	1	0	5	6	8	1	0	0	11	4	5	1
g42	6346	6792	7187	9053	8700	13652	18340	17919	18272	18306	19781	14166
g43	3	1	9	9	5	1	0	0	4	12	2	22
g44	4122	2248	3277	2026	3736	2300	6168	10762	10289	6861	16416	10466
g45	274	232	700	534	222	584	607	684	713	601	806	731
g46	984	1329	1151	1739	1143	1426	4324	5059	7610	6698	10971	3684
g47	240	429	224	736	203	495	1966	601	753	602	1254	336
g48	314	1773	2806	1989	2232	5186	13096	4021	1510	4498	4532	2445
g49	420	183	213	332	391	396	683	545	459	389	584	318
g50	77	118	125	121	134	119	479	257	150	220	483	269
g51	963	1087	3440	1957	2782	5202	3260	4818	2581	11375	8744	1546
g52	4	10	13	3	3	4	8	5	11	22	5	3
g53	1627	1824	1622	1534	2116	2105	3463	3285	2528	3385	4435	1992
g54	2299	1796	1356	2313	1121	1275	3735	6959	5504	4341	5404	3081
g55	423	441	600	482	566	638	2373	3025	2705	3393	2910	1930
g56	144	198	158	115	223	212	692	644	382	697	1485	712
g57	7624	9638	5621	14285	13369	14541	18846	15352	18993	18902	19632	10514
g58	17	2	41	26	41	0	150	42	6	13	10	5
g59	4	1	6	1	2	3	8	3	12	13	4	7
g60	45	57	56	61	54	98	154	177	77	189	98	130
g61	4675	5349	4262	7420	5698	6230	10989	7413	8689	7061	10412	6253
g62	613	587	728	463	892	1031	1622	1799	2090	2302	2387	1094
g63	11618	4176	5949	6565	15382	19306	17890	27328	27837	63831	68798	32151
g64	6	13	5	7	23	2	107	26	85	57	11	45
g65	29	5	148	18	77	0	80	41	97	1	5	102
g66	993	1733	1409	1771	1734	1972	4115	3098	3104	3807	3072	1786
g67	903	942	688	825	1018	1099	2264	2734	1456	2227	3906	1910
g68	39	44	21	44	34	56	225	273	201	126	147	151
g69	24	47	18	44	12	36	27	41	19	70	47	34
g70	1	3	4	20	8	11	50	2	3	9	99	1
g71	1	17	3	0	46	1	29	2	2	24	4	9
g72	334	248	302	630	377	362	1384	688	605	1403	1421	702
g73	173	241	177	144	49	113	587	476	417	719	419	267
g74	118	173	238	394	229	348	380	234	360	671	433	173
g75	2023	1021	7377	1702	1206	3552	6126	2021	1950	1812	10779	3117
g76	640	615	888	1157	1111	1286	1993	1633	927	2511	1671	644
g77	99	122	92	63	87	65	124	245	237	84	353	75
g78	0	2	7	1	0	0	1	6	25	0	15	40
g79	1490	1424	1694	1451	1216	2278	7354	5784	4562	7062	7462	4160
g80	469	331	585	375	554	221	508	1301	1125	1000	955	376
g81	130	62	123	128	136	114	142	178	236	244	268	220
g82	10706	15070	9760	12121	6679	20700	28813	43532	27857	33163	27865	10683
g83	27	37	40	36	43	37	84	85	85	82	95	49
g84	8	0	0	33	6	8	63	12	6	12	2	5
g85	504	368	607	513	570	701	1936	1215	1656	2150	2633	815
g86	4105	5190	7664	6642	4471	8792	4791	6434	7217	6939	11961	7684
g87	130	273	110	173	180	321	248	641	564	525	779	159
g88	795	596	951	1283	700	1070	1982	2025	1313	2130	1925	1009
g89	21	16	27	25	16	48	88	85	100	96	104	37
g90	549	371	1504	1491	298	1353	3564	860	1367	892	4982	789
g91	513	0	21	1	151	192	156	1280	1693	2073	342	912
g92	319	619	722	536	518	1000	1823	1007	509	1847	1380	806
g93	8	1	6	0	0	1	28	2	0	10	128	0
g94	34130	82644	79880	57747	52315	104060	105004	49998	73624	125372	188582	81313
g95	3145	2081	2942	2116	2416	3737	5433	6307	2619	5400	4778	4662
g96	3	10	1	8	4	0	21	10	7	24	54	6
g97	352	348	627	529	445	437	487	319	267	876	433	406
g98	673	1255	954	1999	169	765	1999	1746	1302	2189	2083	2105
g99	30	0	32	115	289	46	17	108	25	50	12	126
g100	7	71	7	33	14	17	18	43	88	51	154	95
g101	29	6	8	9	10	11	8	16	23	72	32	11
g102	240	153	97	113	229	397	1366	522	671	1218	519	128
g103	127	42	53	23	20	57	481	170	225	256	282	66
g104	3	10	3	27	15	28	38	10	33	23	33	2
g105	1683	1755	2553	2368	1562	2071	6981	4879	5834	4111	8240	4422
g106	2551	2217	3038	3530	3615	1478	9640	3904	4844	9442	3754	2767
