"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
"g3583","g1017","g1009","g1017","g1017","g1017","g1017","g1296","g1296"
"g4275","g3583","g1017","g2185","g2185","g1296","g1296","g2185",NA
"g8134","g4275","g3583","g3583","g3583","g2185","g2185","g3583",NA
NA,"g8134","g4275","g4275","g3670","g3583","g3583","g8134",NA
NA,"g8594","g7716","g7716","g7716","g3670","g3670","g8594",NA
NA,NA,"g8134","g8134","g8134","g4262","g7716","g8945",NA
NA,NA,"g8594","g8594","g8594","g7716","g8065",NA,NA
NA,NA,"g9248","g9248","g9248","g8065","g8134",NA,NA
NA,NA,NA,NA,NA,"g8134","g8594",NA,NA
NA,NA,NA,NA,NA,"g8594","g8945",NA,NA
NA,NA,NA,NA,NA,"g8945",NA,NA,NA
