"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
"g2377","g1856","g1856","g1856","g1856","g1856","g1856","g2377","g2945"
"g4049","g2377","g2377","g2377","g2377","g2377","g2377","g2564","g4049"
"g8634","g3624","g2945","g2945","g2564","g2564","g2564","g2945","g5087"
"g9606","g4049","g3624","g3624","g2945","g2945","g2945","g4049",NA
NA,"g5134","g4049","g4049","g3624","g3624","g4049","g5087",NA
NA,"g8634","g5134","g5087","g4049","g4049","g5087","g6947",NA
NA,"g9606","g8634","g5134","g5087","g5087","g5134","g8634",NA
NA,NA,"g9606","g6947","g5134","g5134","g6228",NA,NA
NA,NA,NA,"g8634","g6947","g6228","g6947",NA,NA
NA,NA,NA,"g9606","g8634","g6947","g8634",NA,NA
NA,NA,NA,NA,"g9606","g8634","g9606",NA,NA
NA,NA,NA,NA,NA,"g9606",NA,NA,NA
