"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
"g1046","g1046","g1046","g1046","g1046","g1046","g1046","g1046",NA
"g7469","g2515","g2515","g1579","g1579","g1579","g1579","g1579",NA
"g7788","g5841","g4666","g2515","g2515","g2515","g2515","g1658",NA
"g8573","g7469","g5841","g4666","g4666","g4666","g4666","g7489",NA
NA,"g7788","g6353","g5841","g5841","g5841","g5841","g7788",NA
NA,"g8573","g7469","g6353","g6353","g6353","g6065","g8864",NA
NA,NA,"g7788","g7469","g7469","g7469","g6353",NA,NA
NA,NA,"g8573","g7788","g7788","g7489","g7469",NA,NA
NA,NA,NA,"g7942","g7942","g7788","g7489",NA,NA
NA,NA,NA,"g8573","g8573","g7942","g7788",NA,NA
NA,NA,NA,"g8864","g8864","g8573","g8573",NA,NA
NA,NA,NA,NA,NA,"g8864","g8864",NA,NA
