"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
"g1123","g1123","g1123","g1123","g1123","g1123","g1123","g1123","g3201"
"g1634","g1634","g1634","g1634","g1634","g1634","g1634","g1634","g3998"
"g2250","g2029","g2029","g2029","g2029","g2029","g2029","g3108","g9632"
"g3201","g2250","g2250","g2250","g2250","g2250","g2250","g3201",NA
"g4665","g3201","g3201","g3201","g3108","g3108","g3108","g3803",NA
"g5865","g3803","g3803","g3803","g3201","g3201","g3201","g3998",NA
"g6352","g3998","g3998","g3998","g3803","g3803","g3803","g4665",NA
"g8912","g4665","g4665","g4665","g3998","g3998","g3998","g5941",NA
"g9632","g5865","g5865","g5865","g4665","g4665","g4665","g7167",NA
NA,"g5941","g5941","g5941","g4993","g4993","g4993","g8912",NA
NA,"g6352","g6352","g6352","g5865","g5865","g5865","g9217",NA
NA,"g8912","g6537","g6537","g5941","g5941","g5941","g9632",NA
NA,"g9632","g6951","g6951","g6537","g6537","g6537",NA,NA
NA,NA,"g8690","g7167","g6951","g6951","g6758",NA,NA
NA,NA,"g8912","g8690","g7167","g7167","g7167",NA,NA
NA,NA,"g9217","g8912","g7484","g7484","g7484",NA,NA
NA,NA,"g9632","g9217","g8690","g8912","g8912",NA,NA
NA,NA,NA,"g9632","g8912","g9217","g9217",NA,NA
NA,NA,NA,NA,"g9217","g9632","g9632",NA,NA
NA,NA,NA,NA,"g9632",NA,NA,NA,NA
