"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
"g4847","g2964","g2964","g1744","g1744","g1900","g1900","g3456",NA
"g5440","g4847","g4847","g2964","g1900","g2964","g2964","g4847",NA
"g8982","g5440","g5440","g3456","g2964","g3456","g3456","g5060",NA
NA,"g6841","g6841","g4847","g3456","g4847","g3493",NA,NA
NA,"g8982","g8982","g5440","g4847","g5060","g4847",NA,NA
NA,NA,NA,"g6841","g5440","g5440","g5060",NA,NA
NA,NA,NA,"g8982","g6841","g7601","g7601",NA,NA
NA,NA,NA,"g9975","g7601","g8982","g8982",NA,NA
NA,NA,NA,NA,"g8982","g9156","g9256",NA,NA
NA,NA,NA,NA,"g9156","g9256",NA,NA,NA
NA,NA,NA,NA,"g9256",NA,NA,NA,NA
NA,NA,NA,NA,"g9975",NA,NA,NA,NA
