	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18
g1	1933	1126	1407	1374	2762	1581	1921	1808	1353	3295	3528	5251	5334	4794	2804	5125	3184	6100
g2	5413	2391	3539	4745	4906	3158	2608	2730	2998	6099	9661	10399	11113	9917	6237	10426	11678	10502
g3	76	56	116	104	52	59	100	29	53	77	155	141	457	213	185	577	353	379
g4	72	144	43	69	97	81	125	19	130	108	143	113	217	309	195	298	175	345
g5	190	42	63	157	263	227	152	77	137	187	337	87	120	605	246	417	270	31
g6	13	14	14	5	16	2	8	17	3	24	22	30	20	31	27	56	54	20
g7	363	189	329	300	188	84	198	89	183	300	257	259	154	309	241	313	132	126
g8	89	22	7	33	83	41	83	25	60	29	112	38	145	60	18	162	70	96
g9	34	19	32	7	55	33	40	4	10	33	18	10	108	90	59	60	107	59
g10	2165	1255	1093	1581	1648	1496	1571	1042	1697	1218	2611	1641	2832	2172	1741	2158	3018	2849
g11	9	5	2	4	7	7	0	5	7	26	39	19	7	28	2	13	3	4
g12	109	16	15	6	35	50	10	19	41	25	59	165	305	56	149	93	12	171
g13	928	579	964	770	609	698	578	894	699	847	523	1025	2326	917	1892	976	2158	1532
g14	1723	431	921	205	390	600	712	910	752	872	2795	3953	1959	1259	1198	2494	786	672
g15	6	14	14	6	3	9	17	12	4	11	35	17	13	10	12	44	10	31
g16	16	1	5	9	8	1	3	7	2	12	18	25	19	37	16	46	14	2
g17	21	6	28	3	40	14	13	19	18	12	38	27	45	60	8	53	27	39
g18	27	6	1	16	29	1	8	5	4	18	42	8	5	18	27	24	5	36
g19	1993	1145	1357	2506	2191	1769	2563	2159	1468	2010	4796	2873	2397	4264	2100	3292	2609	3766
g20	355	112	478	39	384	434	623	1045	754	838	2513	684	50	2090	1781	1836	1	712
g21	3	10	9	25	13	9	5	3	8	6	27	0	90	5	15	66	7	85
g22	813	285	405	786	625	796	979	397	631	600	638	385	1258	727	1221	797	1849	660
g23	24	10	10	9	30	23	19	7	5	28	38	36	79	48	22	47	87	52
g24	5424	2839	3473	4368	4130	3744	4431	2781	3196	9989	10440	8742	12795	11294	10403	16163	10300	17093
g25	7851	2605	8542	8502	7194	5716	4666	4041	4370	10550	10836	15335	11874	13416	8569	15346	12558	14936
